,Address,Description,FeatureCount,Fee,Langtitude,Latitude,LengthOfVisit,MuseumName,PhoneNum,Rank,Rating,ReviewCount,TotalThingsToDo,Country,State,RankPercentage,Ancient Ruins,Architectural Buildings,Arenas & Stadiums,Art Galleries,Art Museums,Auto Race Tracks,Ballets,Battlefields,Biking Trails,Bodies of Water,Bridges,Castles,Cemeteries,Children's Museums,City Tours,Classes & Workshops,Coffeehouses,Concerts & Shows,Cultural Tours,Educational sites,Factory Tours,Flea & Street Markets,Food & Drink,Fun & Games,Gardens,Geologic Formations,Gift & Specialty Shops,Government Buildings,Historic Sites,Historic Walking Areas,Historical & Heritage Tours,History Museums,Islands,Lessons & Workshops,Libraries,Lighthouses,"Literary, Art & Music Tours",Lookouts,Military Bases & Facilities,Military Museums,Mines,Monuments & Statues,Movie Theaters,Museums,National Parks,Natural History Museums,Nature & Parks,Nature & Wildlife Areas,Neighborhoods,Night Tours,Nightlife,Observation Decks & Towers,Observatories & Planetariums,Other Fun & Games,Other Outdoor Activities,Outdoor Activities,Piers & Boardwalks,Playgrounds,Points of Interest & Landmarks,Private Tours,Sacred & Religious Sites,Scenic Railroads,Scenic Walking Areas,Science Museums,Self-Guided Tours & Rentals,Ships,Shopping,Sights & Landmarks,Specialty Museums,Sports Complexes,State Parks,Theaters,Tours,Tramways,Transportation,Traveler Resources,Valleys,Visitor Centers,Volcanos,Walking Tours,Wineries & Vineyards,Zipline & Aerial Adventure Parks,Zoos & Aquariums,on display,gift shop,rainy day,couple of hours,all ages,special exhibits,few hours,two hours,exhibits,well worth a visit,permanent collection,worth a visit,free admission,audio guide,beautiful building,great collection,information,interesting exhibits,entrance fee,great for kids,interactive exhibits,hands on activities,great exhibits,great place to visit,interactive displays,guided tour,well worth the visit,whole family,kids and adults,traveling exhibits,his life,local history,amazing collection,free entry,worth the trip,great history,civil war,take your time,nice collection,interesting place,great museum,for sale,art lovers,artifacts,van gogh,audio tour,history,galleries,works of art,natural history,self guided tour,private collection,own pace,sculpture garden,moving experience,three hours,lots of history,modern art,history buff,admission,small museum,step back in time,worth a stop,short film,stuffed animals,walk around,entry fee,great displays,world war,scavenger hunt,across the street,museums,top floor,a lot of fun,history lesson,large collection,eye opening,american history,interesting artifacts,early days,rotating exhibits,extensive collection,three floors,we spent hours,displays,changing exhibits,second floor,collection,old masters,great place to learn,learn something,special exhibitions,suggested donation,old west,chronological order,enjoyed our visit,take pictures,third floor,the lower level,life size,Families_Count,Couples_Count,Solo_Count,Business_Count,Friends_Count,PreciseRating,quote_pol_var,quote_pol_mean,quote_pol_max,quote_pol_min,quote_sub_var,quote_sub_mean,quote_sub_max,quote_sub_min,review_pol_var,review_pol_mean,review_pol_max,review_pol_min,review_sub_var,review_sub_mean,review_sub_max,review_sub_min,descri_pol,descri_sub
368,"710 Camino Lejo, Santa Fe, NM 87505-7511","This museum, which has a 42,000 piece collection, is a must for those interested in Indian culture.",0,,-105.9280153,35.6634809,,Museum of Indian Arts & Culture,505-476-1250,9,4.5,532,249,USA,MA,3.614457831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,237,55,13,76,4.609375,0.131933263,0.336398601,1,0,0.143824035,0.445559441,1,0,0.010022836,0.385620163,0.525,0.236825397,0.006786912,0.530020552,0.746666667,0.44,0.25,0.5
369,"914 Parkway, Gatlinburg, TN 37738-3104",,0,,-83.519006,35.710313,,Hollywood Star Cars Museum,865-430-2200,17,4,893,107,USA,NV,15.88785047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,382,259,15,1,38,4.191011236,0.088140767,0.280654762,0.8,-0.40625,0.10983407,0.525238095,1,0,0.030373617,0.334010191,0.644444444,0.117857143,0.026433062,0.579469697,0.794444444,0.314285714,,
370,"1000 Oak St, Oakland, CA 94607-4820","The Oakland Museum of California provides unique collections, exhibitions and educational opportunities designed to generate a broader and deeper understanding of and interest in California's environment, history, art and people. Museum programs are responsive, accessible and meaningful to the public, including school children, teachers, scholars, the immediate Oakland community, and an increasingly diverse California population.",0,,-122.264194,37.7986167,,Oakland Museum of California,510-318-8400,1,4.5,425,114,USA,NY,0.877192982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,94,30,7,87,4.678657074,0.107733012,0.307575758,1,0,0.130568182,0.35,1,0,0.03069434,0.387960484,0.866666667,0.194949495,0.016918628,0.530086822,0.833333333,0.365,0.3,0.438333333
371,"528 Main St, Park City, UT 84060-5153","Discover Park City's history at the Park City Museum on Historic Main Street. Prospectors discovered silver in 1868 in the area that soon after became Park City. Mine owners made fortunes, while thousands of miners simply made a living. After silver prices declined, Park City reinvented itself as a ski resort town. Interactive displays tell the Park City story in an engaging manner. Fun for the whole family! Open 7 days a week (Mon-Sat 10-7, Sun 12-6).",0,,-111.4960672,40.6446304,,Park City Museum,435-649-7457,6,4.5,347,85,USA,CT,7.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,101,14,6,62,4.63963964,0.140709426,0.519453463,1,0,0.113428055,0.547041847,1,0,0.029445487,0.290945166,0.475,-0.15,0.009095183,0.538282828,0.712698413,0.397619048,0.15952381,0.355782313
372,"571 S Kilgo Cir NE, Atlanta, GA 30322-1120","The Carlos Museum is one of the Southeast's premier ancient art museums with major collections of art objects from ancient Egypt, Nubia, Near East, Greece, Rome, ancient Americas, Africa, and Asia, as well as a collection of works on paper from the Renaissance to the present.",0,,-84.3243816,33.7903415,,Michael C. Carlos Museum,+1 404-727-4282,27,4.5,216,268,USA,AL,10.07462687,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63,33,16,5,29,4.644549763,0.136849174,0.565909091,1,0,0.143801653,0.577272727,1,0,0.035947205,0.33263322,0.733333333,0,0.039877277,0.501569779,0.775,0,0.054166667,0.3
373,"801 Old Water St, Tampa, FL 33602-5418","Experience 12,000 years of powerful stories at the Tampa Bay History Center. During your journey, you will stroll through a 1920s-era cigar store, row up the Hillsborough River, ride along with a cattle drive and learn about the early exploration of Florida. This waterfront building, with an eclectic Museum Store and the signature Columbia Cafe, is a memorable experience for families, history enthusiasts, Tampa area natives and beyond.",3,,-82.4499111,27.9422224,,Tampa Bay History Center,813-228-0097,17,4.5,397,186,USA,FL,9.139784946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67,115,26,17,64,4.384180791,0.094527552,0.245673077,1,-0.1,0.093931213,0.404807692,1,0,0.022514366,0.371185786,0.7,0.133333333,0.022932748,0.511610149,0.725,0.222222222,0.2,0.6
374,"9097 State Route 30, Blue Mountain Lake, NY 12812","The Adirondack Museum is now open for its 59th season. The museum is open daily, including holidays, from 10 a.m. to 5 p.m., through Monday, October 10, 2016. Begin your Adirondack experience with a visit to the Adirondack Museum. A regional museum of history and art, the Adirondack Museum's 24 buildings and exhibitions are situated on 121 acres, offering spectacular mountain and lake views. The museum's extensive collections give visitors the opportunity to experience how people have lived, worked, traveled and played in the Adirondacks since the 1800s. Exhibit themes include: boats and boating, land transportation, outdoor recreation, the environment, logging, rustic traditions, fine arts, and tourism. Interactive discovery centers and hands-on activities abound throughout the museum, making the museum a fun place for families with children to play and learn. Watch the Boat Builder in Residence construct a traditional Adirondack guideboat, take part in a workshop, feed the trout, or participate in a school field trip. Services at the Adirondack Museum include the Lake View Cafe, open 11 a.m. to 4 p.m. daily, overlooking pristine Blue Mountain Lake. Picnic areas are scattered throughout the grounds. Be sure to visit the Museum Store in the Visitor Center for a variety of Adirondack related gifts. Allow 2 - 3 hours for a relaxing visit.",0,,-74.433535,43.8632911,2-3 hours ,Adirondack Museum,15183527311,1,5,284,6,USA,TX,16.66666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75,106,9,6,35,4.830388693,0.15352071,0.286538462,1,-0.25,0.098572485,0.280769231,0.9,0,0.017182021,0.361748804,0.6,0.125,0.014824514,0.555240906,0.840833333,0.375,0.122619048,0.40515873
375,"1600 21st St NW, Washington DC, DC 20009-1003","""Americas First Museum of American Art"" boasts a collection of over 2,500 19th and 20th-century masters, both American and European, including Renoir, Picasso, Gauguin, Manet, OKeefe and more. ",4,,-77.0469952,38.9117567,,The Phillips Collection,202 387 2151,23,4.5,1022,398,USA,AK,5.778894472,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,281,118,62,172,4.659782609,0.155064279,0.456060606,1,0,0.174700413,0.511363636,1,0,0.05787423,0.424579726,1,0.2,0.028980331,0.617439101,1,0.417142857,0.15,0.166666667
376,"219 Baltimore St, Gettysburg, PA 17325-2315","The Museum that was featured on History's ""American Picker's"" The Gettysburg Museum Of History has over 4,000 artifacts on display. The Museum is FREE TO THE PUBLIC! The Museum covers all areas of American History. Military and Political History are the focus with some pop culture covered. Some highlights include: A lock of George and Martha Washington's hair, Abraham Lincoln's wallet and opera glasses,John Wilkes Booth's splint relic, the largest collection of Gettysburg battlefield relics on display in Gettysburg, an autograph or manuscript from each president, Harry Truman's hat, Dwight D. Eisenhower's golf clubs, JFK's rocking chair, suit, and bloodstained limousine upholstery from the assassination, the flag that flew during the attack on Pearl Harbor, Shell casing from Ruby's gun that Killed Oswald, Hitler's silver that was captured by U.S. forces at his home. The Fredrick G. Pfeffer collection of relics from Pickett's Charge. The Robert L. White collection of JFK, The Captain Good collection (wounded in action at Gettysburg) includes the items he used during the battle and the bullet that wounded him! Uniforms,flags, accoutrements, weapons, documents, photos, much much more!The Gettysburg Museum Of History also buys artifacts as well as sells them. Please stop by and see the most amazing collection in Gettysburg at no charge!",0,,-77.2313112,39.8280275,,Gettysburg Museum of History,(717) 337-2035 ,5,5,1147,95,USA,VT,5.263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,307,60,9,122,4.834064969,0.125768306,0.369711538,1,-0.05,0.13568787,0.530769231,1,0,0.021715953,0.370200831,0.563616071,0.125,0.019486233,0.600987422,0.8,0.4375,0.126785714,0.297619048
377,"550 Water St, Baraboo, WI 53913-2578","Circus World in Baraboo is America's favorite circus attraction! Baraboo was home to The Ringling Bros. Circus from 1884 thru 1918, and during those thirty-four years the operation grew to become the largest circus enterprise the world has ever known. Although the Ringlings left in 1918, many of their original structures survived.During the summer months, Circus World comes to life with daily live shows and demonstrations. See the worlds largest collection of glorious parade wagons plus 7 authentic Ringling Bros. buildings filled with colorful, big top memories. Enjoy elephant, pony and carousel rides; cotton candy, ice cream, tasty sandwiches and 2 gift shops. Experience a live circus performance and exciting illusion shows with magician Tristan Crist. Experience the thrill that never grows old at Circus World!",0,,-89.734944,43.4670303,,Circus World,608-356-8341,3,4.5,431,40,USA,VA,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,94,9,5,33,4.358139535,0.099130803,0.176587302,1,-0.25,0.120197035,0.418055556,1,0,0.021388005,0.326546502,0.654722222,0.125,0.020364177,0.550739976,0.853333333,0.333333333,0.252982955,0.477083333
378,"760 N Jim Wright Fwy, Fort Worth, TX 76108-1222",,0,,-97.4741673,32.7723442,,Texas Civil War Museum,817-246-2323,10,4.5,227,145,USA,GA,6.896551724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,59,15,6,27,4.563636364,0.149256198,0.397727273,1,-0.2,0.115568182,0.575,1,0,0.019251091,0.341024565,0.538095238,-0.007142857,0.005238093,0.515090797,0.655,0.375,,
379,"251 Montgomery St, 251 Montgomery Street, 36104, Montgomery, AL 36104-3526","This tribute to the ""Mother of the Civil Rights Movement"" honors Rosa Parks, the African-American woman who, in 1955, sparked the civil rights movement by refusing to give her bus seat to a white man. The museum helps visitors relive this tumultuous era with a video, artifacts, historical documents, a lifesize statue of Rosa Parks and a replica of the bus in which she sat that day.",0,,-86.3121471,32.375816,,Rosa Parks Library and Museum,334-241-8661 ,4,4.5,392,60,USA,NC,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,112,29,20,52,4.583113456,0.092992639,0.422159091,1,0,0.081621901,0.459090909,0.9,0,0.055256839,0.43574513,1,0.075,0.068011462,0.502294372,1,0.05,0,0
380,"3260 South St, Philadelphia, PA 19104-6324","If you want to find your mummy, or, for that matter, Buddha or shards of old pottery, look for this museum in the heart of the University of Pennsylvania campus. ",0,,-75.1913295,39.9492597,,Penn Museum,215-898-4000,37,4.5,314,423,USA,IL,8.747044917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,70,24,9,41,4.532423208,0.086558333,0.338333333,0.75,-0.166666667,0.1274,0.543333333,1,0,0.041065718,0.263531172,0.714285714,-0.0546875,0.014840689,0.555468566,0.817857143,0.316666667,0.1,0.2
381,"110 Pequot Trl, Mashantucket, CT 06338-3823","The Pequot Museum, located in an ancient cedar forest minutes away from Foxwoods Resort Casino, is the largest Native American museum of its kind in the world.",0,,-71.9629566,41.4659733,,Mashantucket Pequot Museum & Research Center,18004119671,1,4.5,291,12,USA,MI,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,83,89,7,5,25,4.666666667,0.11432284,0.173888889,1,-0.166666667,0.125452469,0.257222222,1,0,0.047564943,0.406843423,1,-0.14537037,0.023597898,0.559067411,1,0.38,0.3,0.45
382,"1660 N Highland Ave, Los Angeles, Los Angeles, CA 90028-6121","The Hollywood Museum, the official museum of Hollywood located in the Historic Max Factor Building, spotlights the Legends of Hollywood with the most extensive collection of authentic Hollywood memorabilia in the World. The museum features four floors of breathtaking exhibits and is the home of more than 10,000 authentic Showbiz Treasures, one-of-a-kind costumes, props, photographs, scripts and vintage collectibles from favorite movies and TV shows. The Hollywood Museum is a 501(c)(3) non-profit organization.",0,,-118.3383645,34.1010998,,The Hollywood Museum,323-464-7776,37,4,514,502,USA,MI,7.370517928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,105,40,5,60,4.194835681,0.052524474,0.160763889,0.625,-0.208333333,0.059114101,0.242361111,0.75,0,0.02366381,0.308140496,0.55,0.0075,0.020929131,0.549732389,0.8375,0.313068182,0.4375,0.604166667
383,"6933 Hollywood Blvd, Los Angeles, CA 90028","Located next door to the World Famous Chinese Theatre, Madame Tussauds is Hollywood's newest must-see attraction where you can see, touch and take photos with all of your favorite celebrities! We've taken down the museum-style ropes and poles so that YOU can get up-close and personal with Hollywood's biggest A-listers.Sit down for breakfast with Audrew Hepburn, dance with Patrick Swayze, ride a bike with everyone's favorite Extraterrestrial friend E.T., be serenaded by Justin Bieber, and shoot hoops with Kobe Bryant. With over 125 figures, there is something for everyone!LIKE us on Facebook or Tweet us at Tussaudsla!",0,,-118.3415313,34.1018332,,Madame Tussauds Hollywood,323-798-1670,23,4,2203,502,USA,NM,4.581673307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,435,290,64,5,180,4.227642276,0.132914931,0.139583333,0.75,-0.75,0.098572222,0.411666667,1,0,0.028406859,0.28269733,0.533333333,-0.033333333,0.016848075,0.475973974,0.66875,0.166666667,0.179861111,0.484722222
384,"1701 Front St, Toledo, OH 43605-1481","This is a maritime museum dedicated to the Great Lakes. There are six exhibit galleries, an outdoor maritime park, and the Col. James M. Schoonmaker Museum Ship. While the Ship is open seasonally May- October, the museum and maritime park open year round.",0,,-83.5149624,41.656577,2-3 hours ,National Museum of the Great Lakes,+1 419-214-5000,4,5,150,73,USA,NM,5.479452055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,62,14,2,11,4.785234899,0.161282323,0.438778409,1,0,0.157964876,0.406818182,1,0,0.015823451,0.451960034,0.7,0.22,0.020692159,0.584789219,0.875,0.32,0.15,0.5375
